address,city,country,keys,latitude,longitude,name,postalcode,province
1010 Union St,Bangor,US,us/me/bangor/1010unionst/-2061630068,44.81566,-68.80779,BURGER KING,4401,ME
3801 SE Adams Rd,Bartlesville,US,us/ok/bartlesville/3801seadamsrd/-2061630068,36.74472,-95.93437,BURGER KING,74006,OK
3915 NW Evangeline Trwy,Carencro,US,us/la/carencro/3915nwevangelinetrwy/-2061630068,30.32057,-92.03281,BURGER KING,70520,LA
1240 Broadway,Placerville,US,us/ca/placerville/1240broadway/-864103396,38.730972,-120.786137,TACO BELL,95667,CA
1824 Prairie View Rd,Platte City,US,us/mo/plattecity/1824prairieviewrd/-864103396,39.3546,-94.76436,TACO BELL,64079,MO
7903 Granger Rd,Cleveland,US,us/oh/cleveland/7903grangerrd/-2061630068,41.4145,-81.6317,BURGER KING,44125,OH
22740 Lorain Rd,Cleveland,US,us/oh/cleveland/22740lorainrd/-2061630068,41.4383,-81.8725,BURGER KING,44126,OH
16511 Harvard Ave,Cleveland,US,us/oh/cleveland/16511harvardave/-2061630068,41.4501,-81.5645,BURGER KING,44128,OH
390 Edgewood Rd NW,Cedar Rapids,US,us/ia/cedarrapids/390edgewoodrdnw/-2061630068,41.975672,-91.715931,BURGER KING,52405,IA
2247 Lincolnway,Clinton,US,us/ia/clinton/2247lincolnway/-2061630068,41.81554,-90.23806,BURGER KING,52732,IA
275 S Charles G Seivers Blvd,Clinton,US,us/tn/clinton/275scharlesgseiversblvd/-2061630068,36.09612,-84.1362,BURGER KING,37716,TN
2022 Belt Line Rd,Collinsville,US,us/il/collinsville/2022beltlinerd/-2061630068,38.68697,-90.00766,BURGER KING,62234,IL
375 S Academy Blvd,Colorado Springs,US,us/co/coloradosprings/375sacademyblvd/-2061630068,38.825865,-104.757365,BURGER KING,80910,CO
125 68th Ave S,Coopersville,US,us/mi/coopersville/12568thaves/-2061630068,43.057971,-85.956802,BURGER KING,49404,MI
2990 N Powers Blvd,Colorado Springs,US,us/co/coloradosprings/2990npowersblvd/-2061630068,38.8749,-104.7207,BURGER KING,80922,CO
499 N Main St,Columbia City,US,us/in/columbiacity/499nmainst/-2061630068,41.16565,-85.48755,BURGER KING,46725,IN
888 West Highway 99,Corning,US,us/ca/corning/888westhighway99/-2061630068,39.92724,-122.197914,BURGER KING,96021,CA
3705 E Woodmen Rd,Colorado Springs,US,us/co/coloradosprings/3705ewoodmenrd/-2061630068,38.937271,-104.759079,BURGER KING,80920,CO
2001 E Clevland Mall,Shelby,US,us/nc/shelby/2001eclevlandmall/-1161002137,35.2684,-81.4853,MCDONALDS,28150,NC
817 W 5th Ave,Columbus,US,us/oh/columbus/817w5thave/-2061630068,39.98745,-83.02792,BURGER KING,43212,OH
1991 Western Ave,Albany,US,us/ny/albany/1991westernave/-2061630068,42.6964,-73.8824,BURGER KING,12203,NY
747 Hoosick Rd,Troy,US,us/ny/troy/747hoosickrd/-2061630068,42.745755,-73.642168,BURGER KING,12180,NY
1174 Mount Cobb Rd,Lake Ariel,US,us/pa/lakeariel/1174mountcobbrd/-2061630068,41.408997,-75.50695,BURGER KING,18436,PA
1155 S Lapeer Rd,Lake Orion,US,us/mi/lakeorion/1155slapeerrd/-2061630068,42.765214,-83.240999,BURGER KING,48360,MI
642 S Rand Rd,Lake Zurich,US,us/il/lakezurich/642srandrd/-2061630068,42.1885,-88.103,BURGER KING,60047,IL
